,State,Fighters,fips
0,Alabama,3,US01
1,Arizona,40,US04
2,Arkansas,1,US05
3,California,183,US06
4,Colorado,22,US08
5,Connecticut,1,US09
6,Florida,43,US12
7,Georgia,13,US13
8,Idaho,3,US16
9,Illinois,39,US17
10,Indiana,29,US18
11,Iowa,33,US19
12,Kansas,3,US20
13,Kentucky,5,US21
14,Louisiana,16,US22
15,Maine,5,US23
16,Maryland,3,US24
17,Massachusetts,24,US25
18,Michigan,7,US26
19,Minnesota,21,US27
20,Mississippi,3,US28
21,Missouri,19,US29
22,Nebraska,13,US31
23,Nevada,23,US32
24,New Hampshire,2,US33
25,New Jersey,24,US34
26,New Mexico,21,US35
27,New York,42,US36
28,North Carolina,9,US37
29,North Dakota,4,US38
30,Ohio,34,US39
31,Oklahoma,13,US40
32,Oregon,12,US41
33,Pennsylvania,15,US42
34,South Carolina,5,US45
35,South Dakota,4,US46
36,Tennessee,7,US47
37,Texas,48,US48
38,Utah,13,US49
39,Vermont,1,US50
40,Virginia,6,US51
41,Washington,24,US53
42,Wisconsin,15,US55
